,breeds.primary,days_on_petfinder,id
88,Labrador Retriever,4.538071065989848,394
46,Chihuahua,3.3671641791044777,335
99,Mixed Breed,8.142857142857142,245
141,Terrier,3.857142857142857,217
71,German Shepherd Dog,5.672413793103448,174
109,Pit Bull Terrier,11.122302158273381,139
16,Beagle,5.707692307692308,130
82,Husky,3.4878048780487805,123
130,Shepherd,5.3474576271186445,118
23,Black Labrador Retriever,1.8392857142857142,112
81,Hound,6.730769230769231,104
28,Border Collie,4.381443298969073,97
12,Australian Shepherd,4.494736842105263,95
31,Boxer,4.2926829268292686,82
114,Poodle,6.654320987654321,81
56,Dachshund,5.945945945945946,74
11,Australian Cattle Dog / Blue Heeler,7.416666666666667,72
79,Great Pyrenees,7.323076923076923,65
155,Yorkshire Terrier,5.444444444444445,54
133,Shih Tzu,5.423076923076923,52
91,Maltese,4.8,45
120,Retriever,3.7045454545454546,44
84,Jack Russell Terrier,6.589743589743589,39
40,Catahoula Leopard Dog,3.763157894736842,38
125,Schnauzer,5.75,36
111,Pointer,0.7272727272727273,33
75,Golden Retriever,3.40625,32
116,Pug,4.129032258064516,31
55,Corgi,3.0,29
78,Great Dane,3.3448275862068964,29
122,Rottweiler,1.25,28
118,Rat Terrier,4.75,28
8,American Staffordshire Terrier,5.1923076923076925,26
154,Yellow Labrador Retriever,7.916666666666667,24
53,Collie,5.173913043478261,23
94,Mastiff,4.909090909090909,22
41,Cattle Dog,9.772727272727273,22
0,Affenpinscher,0.0,22
135,Siberian Husky,9.857142857142858,21
97,Miniature Poodle,11.523809523809524,21
15,Basset Hound,4.666666666666667,21
4,American Bulldog,4.5,20
52,Cocker Spaniel,5.3,20
60,English Bulldog,5.65,20
137,Spaniel,4.0,17
58,Doberman Pinscher,3.764705882352941,17
24,Black Mouth Cur,4.466666666666667,15
30,Boston Terrier,14.6,15
69,French Bulldog,3.857142857142857,14
96,Miniature Pinscher,0.9285714285714286,14
49,Chocolate Labrador Retriever,7.357142857142857,14
22,Bichon Frise,6.642857142857143,14
9,Anatolian Shepherd,8.76923076923077,13
112,Pomeranian,6.3076923076923075,13
128,Shar-Pei,4.3076923076923075,13
76,Goldendoodle,10.846153846153847,13
50,Chow Chow,3.090909090909091,11
54,Coonhound,7.9,10
21,Bernese Mountain Dog,6.8,10
140,Standard Poodle,11.7,10
43,Cavalier King Charles Spaniel,11.4,10
132,Shiba Inu,3.8,10
110,Plott Hound,9.571428571428571,7
143,Vizsla,6.857142857142857,7
90,Lhasa Apso,7.5,6
51,Cockapoo,4.333333333333333,6
87,Labradoodle,14.666666666666666,6
152,Wirehaired Terrier,13.166666666666666,6
29,Border Terrier,13.833333333333334,6
20,Bernedoodle,6.666666666666667,6
37,Cane Corso,2.1666666666666665,6
36,Cairn Terrier,4.666666666666667,6
100,Morkie,14.833333333333334,6
80,Havanese,7.5,6
18,Belgian Shepherd / Malinois,9.4,5
107,Pekingese,2.6,5
98,Miniature Schnauzer,21.2,5
14,Basenji,5.0,5
38,Cardigan Welsh Corgi,14.0,5
44,Cavapoo,3.4,5
142,Treeing Walker Coonhound,8.8,5
10,Aussiedoodle,4.75,4
6,American Eskimo Dog,13.5,4
124,Saint Bernard,1.25,4
5,American Bully,21.5,4
27,Bluetick Coonhound,12.25,4
147,West Highland White Terrier / Westie,3.5,4
32,Brittany Spaniel,10.5,4
92,Maltipoo,16.0,4
48,Chiweenie,18.5,4
102,Newfoundland Dog,3.0,4
57,Dalmatian,1.5,4
72,German Shorthaired Pointer,6.0,4
26,Bloodhound,0.0,4
63,English Setter,13.0,3
139,Staffordshire Bull Terrier,14.333333333333334,3
106,Patterdale Terrier / Fell Terrier,19.333333333333332,3
33,Brussels Griffon,13.0,3
104,Norwich Terrier,6.666666666666667,3
42,Cavachon,6.333333333333333,3
93,Manchester Terrier,6.0,3
127,Setter,5.0,3
149,White German Shepherd,6.333333333333333,3
34,Bull Terrier,17.0,3
134,Shih poo,13.333333333333334,3
1,Airedale Terrier,0.0,3
64,English Springer Spaniel,30.0,2
2,Akita,4.5,2
62,English Pointer,0.0,2
121,Rhodesian Ridgeback,0.0,2
35,Bullmastiff,3.5,2
67,Flat-Coated Retriever,0.0,2
117,Puggle,9.5,2
59,Dutch Shepherd,15.0,2
70,German Pinscher,6.5,2
68,Fox Terrier,5.5,2
77,Gordon Setter,2.5,2
151,Wirehaired Dachshund,27.0,2
150,Wire Fox Terrier,9.0,2
25,Black and Tan Coonhound,8.0,2
105,Papillon,3.0,2
101,Mountain Cur,5.5,2
144,Weimaraner,4.5,2
61,English Cocker Spaniel,10.5,2
138,Spitz,0.0,1
146,Welsh Terrier,0.0,1
3,Alaskan Malamute,0.0,1
145,Welsh Springer Spaniel,3.0,1
136,Silky Terrier,19.0,1
148,Whippet,29.0,1
45,Chesapeake Bay Retriever,0.0,1
153,Xoloitzcuintli / Mexican Hairless,0.0,1
47,Chinese Crested Dog,4.0,1
89,Leonberger,0.0,1
131,Shetland Sheepdog / Sheltie,0.0,1
129,Sheep Dog,2.0,1
86,Keeshond,0.0,1
85,Japanese Chin,0.0,1
95,Miniature Bull Terrier,25.0,1
17,Bearded Collie,6.0,1
39,Carolina Dog,0.0,1
83,Italian Greyhound,40.0,1
13,Australian Terrier,0.0,1
19,Belgian Shepherd / Sheepdog,0.0,1
103,Norfolk Terrier,13.0,1
108,Pembroke Welsh Corgi,8.0,1
74,Giant Schnauzer,29.0,1
73,German Wirehaired Pointer,0.0,1
113,Pomsky,10.0,1
115,Presa Canario,0.0,1
7,American Hairless Terrier,35.0,1
119,Redbone Coonhound,22.0,1
66,Finnish Spitz,6.0,1
65,Feist,5.0,1
126,Scottish Terrier,0.0,1
123,Rough Collie,32.0,1
