id,organization_id,url,type,species,breeds,colors,age,gender,size,coat,attributes,environment,tags,name,description,organization_animal_id,photos,primary_photo_cropped,videos,status,status_changed_at,published_at,distance,contact,_links
69327397,WI565,https://www.petfinder.com/dog/cripto-69327397/wi/twin-lakes/the-charlie-project-dog-rescue-corp-wi565/?referrer_id=91610f47-78e7-41dd-b887-e5801308b474&utm_source=api&utm_medium=partnership&utm_content=91610f47-78e7-41dd-b887-e5801308b474,Dog,Dog,"{'primary': 'Shih Tzu', 'secondary': None, 'mixed': False, 'unknown': False}","{'primary': None, 'secondary': None, 'tertiary': None}",Adult,Male,Medium,,"{'spayed_neutered': False, 'house_trained': False, 'declawed': None, 'special_needs': False, 'shots_current': False}","{'children': None, 'dogs': None, 'cats': None}",['Playful'],Cripto,Please visit our website www.charlieproject.wpengine.com to learn more about this amazing pet and to see other available dogs.,21533,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/69327397/1/?bust=1697516889&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/69327397/1/?bust=1697516889&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/69327397/1/?bust=1697516889&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/69327397/1/?bust=1697516889'}]","{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/69327397/1/?bust=1697516889&width=300', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/69327397/1/?bust=1697516889&width=450', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/69327397/1/?bust=1697516889&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/69327397/1/?bust=1697516889'}",[],adoptable,2023-10-17T04:18:04+0000,2023-10-17T04:18:02+0000,54.4799,"{'email': 'thecharlieprojectdogrescue@gmail.com', 'phone': None, 'address': {'address1': None, 'address2': None, 'city': 'Twin lakes', 'state': 'WI', 'postcode': '53181', 'country': 'US'}}","{'self': {'href': '/v2/animals/69327397'}, 'type': {'href': '/v2/types/dog'}, 'organization': {'href': '/v2/organizations/wi565'}}"
69327396,WI565,https://www.petfinder.com/dog/beauty-69327396/wi/twin-lakes/the-charlie-project-dog-rescue-corp-wi565/?referrer_id=91610f47-78e7-41dd-b887-e5801308b474&utm_source=api&utm_medium=partnership&utm_content=91610f47-78e7-41dd-b887-e5801308b474,Dog,Dog,"{'primary': 'English Cocker Spaniel', 'secondary': None, 'mixed': False, 'unknown': False}","{'primary': 'Black', 'secondary': None, 'tertiary': None}",Adult,Female,Medium,,"{'spayed_neutered': False, 'house_trained': False, 'declawed': None, 'special_needs': False, 'shots_current': False}","{'children': None, 'dogs': None, 'cats': None}",['Playful'],Beauty,Please visit our website www.charlieproject.wpengine.com to learn more about this amazing pet and to see other available dogs.,21521,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/69327396/1/?bust=1697516889&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/69327396/1/?bust=1697516889&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/69327396/1/?bust=1697516889&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/69327396/1/?bust=1697516889'}]","{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/69327396/1/?bust=1697516889&width=300', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/69327396/1/?bust=1697516889&width=450', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/69327396/1/?bust=1697516889&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/69327396/1/?bust=1697516889'}",[],adoptable,2023-10-17T04:18:04+0000,2023-10-17T04:18:02+0000,54.4799,"{'email': 'thecharlieprojectdogrescue@gmail.com', 'phone': None, 'address': {'address1': None, 'address2': None, 'city': 'Twin lakes', 'state': 'WI', 'postcode': '53181', 'country': 'US'}}","{'self': {'href': '/v2/animals/69327396'}, 'type': {'href': '/v2/types/dog'}, 'organization': {'href': '/v2/organizations/wi565'}}"
69327398,WI565,https://www.petfinder.com/dog/banjo-69327398/wi/twin-lakes/the-charlie-project-dog-rescue-corp-wi565/?referrer_id=91610f47-78e7-41dd-b887-e5801308b474&utm_source=api&utm_medium=partnership&utm_content=91610f47-78e7-41dd-b887-e5801308b474,Dog,Dog,"{'primary': 'Lhasa Apso', 'secondary': 'Shih Tzu', 'mixed': True, 'unknown': False}","{'primary': None, 'secondary': None, 'tertiary': None}",Adult,Male,Medium,,"{'spayed_neutered': False, 'house_trained': False, 'declawed': None, 'special_needs': False, 'shots_current': False}","{'children': None, 'dogs': None, 'cats': None}",['Playful'],Banjo,Please visit our website www.charlieproject.wpengine.com to learn more about this amazing pet and to see other available dogs.,21525,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/69327398/1/?bust=1697516890&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/69327398/1/?bust=1697516890&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/69327398/1/?bust=1697516890&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/69327398/1/?bust=1697516890'}]","{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/69327398/1/?bust=1697516890&width=300', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/69327398/1/?bust=1697516890&width=450', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/69327398/1/?bust=1697516890&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/69327398/1/?bust=1697516890'}",[],adoptable,2023-10-17T04:18:04+0000,2023-10-17T04:18:02+0000,54.4799,"{'email': 'thecharlieprojectdogrescue@gmail.com', 'phone': None, 'address': {'address1': None, 'address2': None, 'city': 'Twin lakes', 'state': 'WI', 'postcode': '53181', 'country': 'US'}}","{'self': {'href': '/v2/animals/69327398'}, 'type': {'href': '/v2/types/dog'}, 'organization': {'href': '/v2/organizations/wi565'}}"
69327399,WI565,https://www.petfinder.com/dog/poof-69327399/wi/twin-lakes/the-charlie-project-dog-rescue-corp-wi565/?referrer_id=91610f47-78e7-41dd-b887-e5801308b474&utm_source=api&utm_medium=partnership&utm_content=91610f47-78e7-41dd-b887-e5801308b474,Dog,Dog,"{'primary': 'Pomeranian', 'secondary': 'Chihuahua', 'mixed': True, 'unknown': False}","{'primary': 'Brown / Chocolate', 'secondary': None, 'tertiary': None}",Baby,Male,Medium,,"{'spayed_neutered': False, 'house_trained': False, 'declawed': None, 'special_needs': False, 'shots_current': True}","{'children': None, 'dogs': True, 'cats': True}",['Playful'],poof,Please visit our website www.charlieproject.wpengine.com to learn more about this amazing pet and to see other available dogs.,21419,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/69327399/1/?bust=1697516894&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/69327399/1/?bust=1697516894&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/69327399/1/?bust=1697516894&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/69327399/1/?bust=1697516894'}]","{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/69327399/1/?bust=1697516894&width=300', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/69327399/1/?bust=1697516894&width=450', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/69327399/1/?bust=1697516894&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/69327399/1/?bust=1697516894'}",[],adoptable,2023-10-17T04:18:04+0000,2023-10-17T04:18:02+0000,54.4799,"{'email': 'thecharlieprojectdogrescue@gmail.com', 'phone': None, 'address': {'address1': None, 'address2': None, 'city': 'Twin lakes', 'state': 'WI', 'postcode': '53181', 'country': 'US'}}","{'self': {'href': '/v2/animals/69327399'}, 'type': {'href': '/v2/types/dog'}, 'organization': {'href': '/v2/organizations/wi565'}}"
69327241,TX2521,https://www.petfinder.com/dog/carmen-69327241/il/oswego/dog-rescue-r-us-tx2521/?referrer_id=91610f47-78e7-41dd-b887-e5801308b474&utm_source=api&utm_medium=partnership&utm_content=91610f47-78e7-41dd-b887-e5801308b474,Dog,Dog,"{'primary': 'Cardigan Welsh Corgi', 'secondary': None, 'mixed': False, 'unknown': False}","{'primary': 'Black', 'secondary': 'White / Cream', 'tertiary': None}",Adult,Female,Small,,"{'spayed_neutered': True, 'house_trained': False, 'declawed': None, 'special_needs': False, 'shots_current': True}","{'children': None, 'dogs': None, 'cats': None}",[],CARMEN,CARMEN IS A SWEET GIRL LOVES TO CUDDLE AND PLAY. SHE IS POTTY TRAINED. SHE IS DOG FRIENDLY BUT CAN...,DRNI-A-1419,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/69327241/1/?bust=1697514085&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/69327241/1/?bust=1697514085&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/69327241/1/?bust=1697514085&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/69327241/1/?bust=1697514085'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/69327241/2/?bust=1697514084&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/69327241/2/?bust=1697514084&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/69327241/2/?bust=1697514084&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/69327241/2/?bust=1697514084'}]","{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/69327241/1/?bust=1697514085&width=300', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/69327241/1/?bust=1697514085&width=450', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/69327241/1/?bust=1697514085&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/69327241/1/?bust=1697514085'}",[],adoptable,2023-10-17T03:31:13+0000,2023-10-17T03:31:11+0000,36.6976,"{'email': 'dogrescuerus@gmail.com', 'phone': '(708) 244-5695', 'address': {'address1': None, 'address2': None, 'city': 'Oswego', 'state': 'IL', 'postcode': '60543', 'country': 'US'}}","{'self': {'href': '/v2/animals/69327241'}, 'type': {'href': '/v2/types/dog'}, 'organization': {'href': '/v2/organizations/tx2521'}}"
69327240,TX2521,https://www.petfinder.com/dog/jules-69327240/il/oswego/dog-rescue-r-us-tx2521/?referrer_id=91610f47-78e7-41dd-b887-e5801308b474&utm_source=api&utm_medium=partnership&utm_content=91610f47-78e7-41dd-b887-e5801308b474,Dog,Dog,"{'primary': 'Shih Tzu', 'secondary': 'Terrier', 'mixed': True, 'unknown': False}","{'primary': 'Black', 'secondary': None, 'tertiary': None}",Adult,Female,Small,,"{'spayed_neutered': True, 'house_trained': False, 'declawed': None, 'special_needs': False, 'shots_current': True}","{'children': None, 'dogs': None, 'cats': None}",[],JULES,All our pups come fully vetted ... utd on shots ...micro-chipped and spayed or neutered. PLEASE DO NOT CALL.......... VISIT...,DRNI-A-1417,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/69327240/1/?bust=1697514083&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/69327240/1/?bust=1697514083&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/69327240/1/?bust=1697514083&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/69327240/1/?bust=1697514083'}]","{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/69327240/1/?bust=1697514083&width=300', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/69327240/1/?bust=1697514083&width=450', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/69327240/1/?bust=1697514083&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/69327240/1/?bust=1697514083'}",[],adoptable,2023-10-17T03:31:13+0000,2023-10-17T03:31:11+0000,36.6976,"{'email': 'dogrescuerus@gmail.com', 'phone': '(708) 244-5695', 'address': {'address1': None, 'address2': None, 'city': 'Oswego', 'state': 'IL', 'postcode': '60543', 'country': 'US'}}","{'self': {'href': '/v2/animals/69327240'}, 'type': {'href': '/v2/types/dog'}, 'organization': {'href': '/v2/organizations/tx2521'}}"
69327239,TX2521,https://www.petfinder.com/dog/dorothy-scruff-69327239/il/oswego/dog-rescue-r-us-tx2521/?referrer_id=91610f47-78e7-41dd-b887-e5801308b474&utm_source=api&utm_medium=partnership&utm_content=91610f47-78e7-41dd-b887-e5801308b474,Dog,Dog,"{'primary': 'Poodle', 'secondary': 'Terrier', 'mixed': True, 'unknown': False}","{'primary': 'White / Cream', 'secondary': 'Yellow / Tan / Blond / Fawn', 'tertiary': None}",Young,Female,Small,,"{'spayed_neutered': True, 'house_trained': False, 'declawed': None, 'special_needs': False, 'shots_current': True}","{'children': None, 'dogs': None, 'cats': None}",[],DOROTHY SCRUFF,"Hello!
My name is: Dorothy Scruff
KNICKNAME: DeeDee
Potty Trained: mostly she also uses peepads
MEDICAL: NONE
My breed: poodle...",DRNI-A-1416,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/69327239/1/?bust=1697514081&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/69327239/1/?bust=1697514081&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/69327239/1/?bust=1697514081&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/69327239/1/?bust=1697514081'}]","{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/69327239/1/?bust=1697514081&width=300', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/69327239/1/?bust=1697514081&width=450', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/69327239/1/?bust=1697514081&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/69327239/1/?bust=1697514081'}",[],adoptable,2023-10-17T03:31:13+0000,2023-10-17T03:31:11+0000,36.6976,"{'email': 'dogrescuerus@gmail.com', 'phone': '(708) 244-5695', 'address': {'address1': None, 'address2': None, 'city': 'Oswego', 'state': 'IL', 'postcode': '60543', 'country': 'US'}}","{'self': {'href': '/v2/animals/69327239'}, 'type': {'href': '/v2/types/dog'}, 'organization': {'href': '/v2/organizations/tx2521'}}"
69327243,TX2521,https://www.petfinder.com/dog/uncle-henry-69327243/il/oswego/dog-rescue-r-us-tx2521/?referrer_id=91610f47-78e7-41dd-b887-e5801308b474&utm_source=api&utm_medium=partnership&utm_content=91610f47-78e7-41dd-b887-e5801308b474,Dog,Dog,"{'primary': 'Poodle', 'secondary': 'Terrier', 'mixed': True, 'unknown': False}","{'primary': 'Black', 'secondary': None, 'tertiary': None}",Young,Male,Small,,"{'spayed_neutered': True, 'house_trained': False, 'declawed': None, 'special_needs': False, 'shots_current': True}","{'children': None, 'dogs': None, 'cats': None}",[],UNCLE HENRY,. All our pups come fully vetted ... utd on shots ...micro-chipped and spayed or neutered. PLEASE DO NOT CALL.............,DRNI-A-1420,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/69327243/1/?bust=1697514078&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/69327243/1/?bust=1697514078&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/69327243/1/?bust=1697514078&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/69327243/1/?bust=1697514078'}]","{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/69327243/1/?bust=1697514078&width=300', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/69327243/1/?bust=1697514078&width=450', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/69327243/1/?bust=1697514078&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/69327243/1/?bust=1697514078'}",[],adoptable,2023-10-17T03:31:13+0000,2023-10-17T03:31:11+0000,36.6976,"{'email': 'dogrescuerus@gmail.com', 'phone': '(708) 244-5695', 'address': {'address1': None, 'address2': None, 'city': 'Oswego', 'state': 'IL', 'postcode': '60543', 'country': 'US'}}","{'self': {'href': '/v2/animals/69327243'}, 'type': {'href': '/v2/types/dog'}, 'organization': {'href': '/v2/organizations/tx2521'}}"
69327242,TX2521,https://www.petfinder.com/dog/kookie-69327242/il/oswego/dog-rescue-r-us-tx2521/?referrer_id=91610f47-78e7-41dd-b887-e5801308b474&utm_source=api&utm_medium=partnership&utm_content=91610f47-78e7-41dd-b887-e5801308b474,Dog,Dog,"{'primary': 'Terrier', 'secondary': None, 'mixed': False, 'unknown': False}","{'primary': 'Brown / Chocolate', 'secondary': None, 'tertiary': None}",Adult,Female,Small,,"{'spayed_neutered': True, 'house_trained': False, 'declawed': None, 'special_needs': False, 'shots_current': True}","{'children': None, 'dogs': None, 'cats': None}",[],KOOKIE,All our pups come fully vetted ... utd on shots ...micro-chipped and spayed or neutered. PLEASE DO NOT CALL.......... VISIT...,DRNI-A-1418,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/69327242/1/?bust=1697514079&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/69327242/1/?bust=1697514079&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/69327242/1/?bust=1697514079&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/69327242/1/?bust=1697514079'}]","{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/69327242/1/?bust=1697514079&width=300', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/69327242/1/?bust=1697514079&width=450', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/69327242/1/?bust=1697514079&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/69327242/1/?bust=1697514079'}",[],adoptable,2023-10-17T03:31:13+0000,2023-10-17T03:31:11+0000,36.6976,"{'email': 'dogrescuerus@gmail.com', 'phone': '(708) 244-5695', 'address': {'address1': None, 'address2': None, 'city': 'Oswego', 'state': 'IL', 'postcode': '60543', 'country': 'US'}}","{'self': {'href': '/v2/animals/69327242'}, 'type': {'href': '/v2/types/dog'}, 'organization': {'href': '/v2/organizations/tx2521'}}"
69326792,IL274,https://www.petfinder.com/dog/brontosaurus-69326792/il/hillside/magnificent-mutts-rescue-il274/?referrer_id=91610f47-78e7-41dd-b887-e5801308b474&utm_source=api&utm_medium=partnership&utm_content=91610f47-78e7-41dd-b887-e5801308b474,Dog,Dog,"{'primary': 'Shepherd', 'secondary': 'Spaniel', 'mixed': True, 'unknown': False}","{'primary': None, 'secondary': None, 'tertiary': None}",Baby,Male,Medium,,"{'spayed_neutered': False, 'house_trained': False, 'declawed': None, 'special_needs': False, 'shots_current': False}","{'children': None, 'dogs': True, 'cats': None}",[],Brontosaurus,"&amp;#34;RAWWWRRRR&amp;#34; - The Dinosaurs are inhabiting the rescue!

Velociraptor, Triceratops, Stegosaurus and Brontosaurus are &amp;#34;roaming&amp;#34; around with dreams of finding...",19887576,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/69326792/1/?bust=1697510215&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/69326792/1/?bust=1697510215&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/69326792/1/?bust=1697510215&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/69326792/1/?bust=1697510215'}]","{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/69326792/1/?bust=1697510215&width=300', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/69326792/1/?bust=1697510215&width=450', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/69326792/1/?bust=1697510215&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/69326792/1/?bust=1697510215'}",[],adoptable,2023-10-17T02:26:19+0000,2023-10-17T02:26:17+0000,13.3691,"{'email': 'magmuttsrescue@aol.com', 'phone': None, 'address': {'address1': None, 'address2': None, 'city': 'Hillside', 'state': 'IL', 'postcode': '60162', 'country': 'US'}}","{'self': {'href': '/v2/animals/69326792'}, 'type': {'href': '/v2/types/dog'}, 'organization': {'href': '/v2/organizations/il274'}}"
